,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5
0.1385,-0.50044558,-0.50044558,4.76271232,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,5.14202174,-0.12113616,-0.12113616,4.96819826,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1395,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,4.6944027,4.6944027,-0.5687552,4.6944027,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,5.14202174,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1405,-0.50044558,4.76271232,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,4.6944027,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1415,-0.50044558,4.76271232,-0.50044558,-0.50044558,4.76271232,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.5687552,4.6309663,-0.6321916,4.6309663,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1425,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,9.9575606,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,4.6309663,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,4.96819826,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1435,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,4.6944027,-0.6321916,-0.6321916,4.6309663,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,4.96819826,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1445,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,4.6944027,-0.5687552,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,5.01016432,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1455,-0.50044558,4.76271232,4.76271232,-0.50044558,4.76271232,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.5687552,9.8941242,-0.6321916,4.6309663,4.6588137,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1465,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,4.6944027,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,5.01016432,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,5.25263158,-0.01052632,-0.01052632
0.1475,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.5687552,4.6309663,-0.6321916,-0.6321916,-0.6321916,4.6309663,-0.25299358,-0.25299358,5.01016432,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1485,4.76271232,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,4.6944027,-0.5687552,4.6944027,-0.5687552,-0.5687552,-0.6321916,-0.6321916,4.6309663,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,5.01016432,-0.12113616,-0.12113616,-0.12113616,-0.12113616,5.14202174,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.1495,-0.50044558,-0.50044558,-0.50044558,-0.50044558,4.76271232,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,4.6944027,-0.5687552,-0.5687552,-0.6321916,-0.6321916,4.6309663,-0.6321916,4.6309663,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,5.14202174,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
