,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0005,17.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0015,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0025,17.2522449,-2.7477551,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0035,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0045,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.20938775,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0055,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0065,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.20938775,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0075,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,18.12387758,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,17.84653061,18.25469391,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0085,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0095,-2.7477551,-2.7477551,-2.7477551,17.6604082,17.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,18.99877552,19.40693882,19.40693882,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,-0.97857141,-0.97857141
0.0105,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-2.28428572,-2.28428572,18.12387758,-2.28428572,17.71571428,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,19.40693882,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0115,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,18.12387758,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,17.84653061,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0125,-2.7477551,-2.7477551,17.6604082,-2.7477551,-2.7477551,38.0685714,-2.7477551,17.2522449,-2.7477551,38.0685714,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.61755105,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,18.12387758,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.2659184,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0135,-2.7477551,-2.7477551,-2.7477551,-2.7477551,37.2522449,17.6604082,-2.7477551,-2.7477551,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.20938775,-1.79061225,-1.79061225,38.20938775,39.02571425,18.61755105,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0145,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,38.0685714,-2.7477551,-1.79061225,-1.79061225,-1.79061225,39.02571425,-1.79061225,-1.79061225,-1.79061225,58.20938775,-1.79061225,59.43387755,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.2659184,18.8577551,18.8577551,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0155,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,37.2522449,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,18.61755105,18.20938775,18.61755105,38.20938775,-1.79061225,39.02571425,39.02571425,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,17.84653061,18.25469391,-2.15346939,17.84653061,18.25469391,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,19.40693882,38.99877552,-1.00122448,-1.00122448,39.81510202,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,19.2659184,-1.1422449,-1.1422449,39.6740816,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.42959189,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0165,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,18.61755105,-1.79061225,78.20938775,39.02571425,100.2502041,-2.28428572,37.71571428,-2.28428572,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,-2.15346939,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,19.40693882,-1.1422449,-1.1422449,-1.1422449,39.6740816,18.8577551,19.2659184,-1.1422449,-1.1422449,80.4904082,39.6740816,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,39.83775509
0.0175,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,-2.7477551,17.2522449,17.2522449,-2.7477551,38.0685714,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,18.20938775,78.20938775,59.43387755,59.43387755,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,18.12387758,-2.15346939,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,-1.00122448,-1.00122448,19.40693882,19.40693882,-1.00122448,-1.00122448,18.99877552,18.99877552,-1.00122448,39.81510202,-1.1422449,-1.1422449,-1.1422449,19.2659184,-1.1422449,39.6740816,18.8577551,38.8577551,19.2659184,80.4904082,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,-0.97857141,60.24591839
0.0185,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,58.4767347,-2.7477551,-2.7477551,17.6604082,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,39.02571425,38.20938775,38.20938775,39.02571425,59.43387755,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,37.71571428,37.71571428,18.12387758,18.12387758,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,18.25469391,79.47918371,-1.00122448,-1.00122448,-1.00122448,19.40693882,18.99877552,-1.00122448,18.99877552,-1.00122448,39.81510202,-1.00122448,-1.1422449,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,-1.1422449,-1.1422449,39.6740816,100.8985714,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,39.83775509,-0.97857141
0.0195,-2.7477551,-2.7477551,-2.7477551,17.6604082,17.2522449,-2.7477551,-2.7477551,77.2522449,17.6604082,38.0685714,-1.79061225,18.20938775,18.61755105,-1.79061225,18.20938775,-1.79061225,-1.79061225,18.20938775,59.43387755,39.02571425,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,18.12387758,18.12387758,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,37.84653061,37.84653061,-2.15346939,18.25469391,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,39.81510202,-1.00122448,-1.1422449,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,38.8577551,39.6740816,39.6740816,19.02142859,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.42959189
0.0205,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,17.6604082,17.2522449,37.2522449,17.6604082,17.6604082,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.61755105,58.20938775,38.20938775,120.6583674,243.107347,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,37.71571428,-2.28428572,18.12387758,18.12387758,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,18.25469391,-2.15346939,17.84653061,59.07102041,-2.15346939,-1.00122448,18.99877552,-1.00122448,-1.00122448,18.99877552,-1.00122448,18.99877552,-1.00122448,39.81510202,19.40693882,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.2659184,18.8577551,98.8577551,19.2659184,141.714898,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,39.83775509,19.42959189
0.0215,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,38.0685714,37.2522449,17.2522449,38.0685714,17.6604082,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,18.61755105,38.20938775,58.20938775,100.2502041,120.6583674,-2.28428572,17.71571428,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,38.53204078,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,18.25469391,-2.15346939,-2.15346939,38.66285711,-2.15346939,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,19.40693882,-1.1422449,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,38.8577551,78.8577551,60.0822449,60.0822449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,-0.97857141,19.02142859,-0.97857141,39.83775509,39.83775509
0.0225,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,37.2522449,38.0685714,17.6604082,-1.79061225,18.20938775,39.02571425,-1.79061225,-1.79061225,39.02571425,38.20938775,118.2093878,141.0665307,39.02571425,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,57.84653061,79.47918371,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,19.2659184,58.8577551,118.8577551,100.8985714,80.4904082,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,-0.97857141,19.42959189
0.0235,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,38.0685714,37.2522449,17.2522449,17.6604082,78.884898,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.61755105,58.20938775,78.20938775,39.02571425,79.84204085,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,37.71571428,-2.28428572,58.94020408,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,38.66285711,-2.15346939,17.84653061,-2.15346939,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,58.99877552,-1.00122448,-1.00122448,60.22326532,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.2659184,78.8577551,98.8577551,162.1230612,19.2659184,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,-0.97857141,19.02142859,19.02142859,19.42959189,-0.97857141
0.0245,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,17.6604082,17.2522449,37.2522449,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.20938775,98.20938775,39.02571425,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,38.53204078,-2.15346939,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,17.84653061,17.84653061,38.66285711,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,19.40693882,38.99877552,18.99877552,19.40693882,-1.00122448,-1.1422449,-1.1422449,19.2659184,-1.1422449,38.8577551,19.2659184,118.8577551,78.8577551,39.6740816,39.6740816,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.42959189,59.02142859,-0.97857141,-0.97857141,19.42959189
0.0255,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,38.0685714,37.2522449,57.2522449,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,59.43387755,98.20938775,18.20938775,39.02571425,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,57.84653061,18.25469391,-2.15346939,-1.00122448,-1.00122448,-1.00122448,19.40693882,18.99877552,19.40693882,18.99877552,38.99877552,-1.00122448,19.40693882,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,58.8577551,38.8577551,-1.1422449,19.2659184,-0.97857141,-0.97857141,19.42959189,-0.97857141,-0.97857141,19.42959189,19.02142859,-0.97857141,-0.97857141,-0.97857141
0.0265,-2.7477551,-2.7477551,38.0685714,-2.7477551,37.2522449,17.6604082,57.2522449,37.2522449,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,79.84204085,58.20938775,78.20938775,-1.79061225,18.61755105,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,38.53204078,-2.28428572,17.71571428,-2.28428572,18.12387758,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,97.84653061,-2.15346939,59.07102041,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,18.99877552,18.99877552,19.40693882,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,58.8577551,18.8577551,-1.1422449,19.2659184,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,19.42959189,19.02142859,19.02142859,-0.97857141,19.42959189
