,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0345,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0355,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,19.72918367,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,19.71938776,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0365,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,19.71938776,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0375,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,19.69938776,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0385,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0395,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,19.69938776,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0405,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0415,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0425,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0435,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0445,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0455,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0465,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0475,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,19.72,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0485,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0495,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0505,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0515,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0525,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0535,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0545,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0555,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,19.69938776,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0565,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,19.72,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0575,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,19.71938776,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0585,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,19.69938776,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0595,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0605,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0615,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0625,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0635,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,19.69938776,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0645,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0655,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0665,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.0675,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.86204082,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.30061224,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.27081633,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.28061224,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
