,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0265,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,39.19346939,19.60163269,19.19346939,19.60163269,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,39.43632653,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,19.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489,19.72775511
0.0275,-0.80653061,-0.80653061,19.19346939,19.60163269,-0.80653061,39.19346939,19.60163269,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,19.84448983,-0.56367347,-0.56367347,19.43632653,-0.56367347,40.25265303,-0.56367347,-0.56367347,19.43632653,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,20.13591841,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,20.13591841,-0.27224489
0.0285,-0.80653061,60.41795919,-0.80653061,-0.80653061,-0.80653061,-0.80653061,19.60163269,-0.80653061,19.60163269,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,19.84448983,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.43632653,-0.28122448,20.12693882,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,19.72775511,-0.27224489,-0.27224489
0.0295,19.19346939,19.60163269,19.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,40.00979589,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,40.25265303,-0.56367347,-0.56367347,39.43632653,-0.56367347,-0.56367347,19.43632653,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,19.71877552,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,19.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0305,-0.80653061,-0.80653061,-0.80653061,19.60163269,-0.80653061,-0.80653061,19.60163269,19.19346939,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,19.84448983,-0.56367347,-0.56367347,-0.56367347,19.43632653,-0.56367347,-0.56367347,19.84448983,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,20.2471429,-0.1610204,-0.07020408,-0.07020408,-0.07020408,20.33795922,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,19.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0315,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,19.60163269,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0325,99.19346939,19.60163269,-0.80653061,-0.80653061,-0.80653061,-0.80653061,19.60163269,19.19346939,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,59.43632653,40.25265303,-0.56367347,-0.56367347,-0.56367347,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,19.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,19.72775511,-0.27224489,-0.27224489
0.0335,39.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,39.19346939,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0345,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,59.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.84448983,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,20.12693882,-0.28122448,-0.1610204,-0.1610204,-0.1610204,20.2471429,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,20.33795922,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,39.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0355,-0.80653061,19.60163269,-0.80653061,-0.80653061,-0.80653061,19.19346939,-0.80653061,19.19346939,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0365,39.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,40.00979589,19.19346939,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.71877552,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,19.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0375,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0385,19.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,20.33795922,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0395,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,19.19346939,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,19.92979592,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,19.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0405,59.19346939,-0.80653061,-0.80653061,-0.80653061,19.19346939,-0.80653061,-0.80653061,19.19346939,-0.80653061,-0.80653061,19.99,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.43632653,-0.56367347,-0.56367347,-0.56367347,19.43632653,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0415,19.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0425,39.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,19.84448983,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.71877552,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,19.8389796,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,19.92979592,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0435,-0.80653061,19.60163269,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,19.84448983,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0445,59.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,20.33795922,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0455,19.19346939,19.60163269,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0465,19.19346939,19.60163269,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.84448983,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0475,19.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,20.13591841,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0485,-0.80653061,19.60163269,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0495,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0505,-0.80653061,-0.80653061,-0.80653061,-0.80653061,19.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.71877552,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,20.2471429,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0515,19.19346939,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0525,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
0.0535,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.80653061,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.56367347,19.43632653,-0.56367347,-0.56367347,-0.56367347,-0.56367347,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.28122448,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.1610204,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,-0.07020408,19.72775511,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489,-0.27224489
