,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0535,15.18815984,-4.41968326,-4.41968326,14.81108594,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.56674204,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.18966814,18.56674204,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,18.75358218,19.13065608,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,18.08465307,-1.14611613,-1.14611613,18.46172697,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0545,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,54.40384614,-4.41968326,-4.41968326,14.81108594,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,18.25018852,-0.98058068,18.25018852,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-0.47718702,-0.47718702,-0.47718702,57.21512068,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,18.46172697,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0555,15.18815984,-4.41968326,-4.41968326,14.81108594,15.18815984,14.81108594,-4.41968326,34.79600304,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,37.06146309,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.18966814,18.56674204,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.25018852,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0565,-4.41968326,-4.41968326,15.18815984,14.81108594,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,14.81108594,-1.40007541,-1.40007541,-1.40007541,-1.40007541,37.81561089,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,18.25018852,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,19.13065608,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,18.08465307,18.46172697,-1.14611613,-1.14611613,18.08465307,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0575,15.18815984,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,34.79600304,15.18815984,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,37.06146309,-1.40007541,18.20776769,18.20776769,-1.40007541,-1.04110106,18.18966814,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0585,-4.41968326,-4.41968326,-4.41968326,-4.41968326,34.79600304,34.04185524,-4.41968326,15.18815984,-4.41968326,14.81108594,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.25018852,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,18.46172697,-1.14611613,-1.14611613,18.08465307,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0595,-4.41968326,14.81108594,-4.41968326,14.81108594,-4.41968326,14.81108594,-4.41968326,-4.41968326,-4.41968326,34.04185524,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,-1.04110106,18.18966814,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,18.75358218,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,18.08465307,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0605,15.18815984,-4.41968326,15.18815984,14.81108594,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,14.81108594,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,37.48095782,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,38.73849928,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,-1.14611613,18.46172697,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0615,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,14.81108594,15.18815984,15.18815984,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.18966814,-1.04110106,-1.04110106,-1.04110106,18.18966814,-0.98058068,-0.98058068,-0.98058068,18.25018852,18.62726242,37.48095782,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0625,15.18815984,-4.41968326,15.18815984,-4.41968326,34.79600304,14.81108594,15.18815984,-4.41968326,-4.41968326,14.81108594,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,18.75358218,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0635,-4.41968326,14.81108594,-4.41968326,34.04185524,-4.41968326,-4.41968326,-4.41968326,15.18815984,15.18815984,-4.41968326,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.62726242,-0.98058068,-0.98058068,18.25018852,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.25018852,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0645,-4.41968326,14.81108594,15.18815984,-4.41968326,-4.41968326,34.04185524,-4.41968326,54.40384614,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,18.18966814,18.56674204,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0655,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,34.79600304,14.81108594,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,18.56674204,-1.04110106,18.62726242,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,18.08465307,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0665,-4.41968326,14.81108594,-4.41968326,-4.41968326,-4.41968326,14.81108594,15.18815984,-4.41968326,-4.41968326,14.81108594,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,-1.40007541,18.20776769,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.25018852,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0675,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,14.81108594,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.62726242,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,18.08465307,-1.14611613,-1.14611613,18.46172697,18.46172697,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0685,-4.41968326,-4.41968326,-4.41968326,14.81108594,15.18815984,-4.41968326,15.18815984,15.18815984,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.56674204,-1.04110106,-1.04110106,18.18966814,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.25018852,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0695,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,18.20776769,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,-1.04110106,18.56674204,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,18.75358218,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0705,-4.41968326,-4.41968326,-4.41968326,-4.41968326,34.79600304,-4.41968326,15.18815984,-4.41968326,-4.41968326,14.81108594,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,38.17458524,37.42043744,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,19.13065608,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0715,-4.41968326,14.81108594,-4.41968326,-4.41968326,15.18815984,14.81108594,-4.41968326,15.18815984,15.18815984,14.81108594,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,18.20776769,18.20776769,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,38.23510562,-0.98058068,-0.98058068,38.23510562,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,18.08465307,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0725,-4.41968326,14.81108594,-4.41968326,-4.41968326,-4.41968326,34.04185524,-4.41968326,54.40384614,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,-1.40007541,18.20776769,18.20776769,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.18966814,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,19.55957765,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0735,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,14.81108594,15.18815984,-4.41968326,-4.41968326,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,18.20776769,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,18.25018852,-0.98058068,-0.98058068,-0.98058068,18.25018852,-0.47718702,-0.47718702,-0.47718702,18.75358218,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,19.55957765,-0.04826545,-0.04826545,-0.04826545
0.0745,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,34.79600304,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,18.08465307,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,19.55957765,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0755,15.18815984,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,15.18815984,15.18815984,14.81108594,-1.40007541,17.83069379,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,37.81561089,-1.40007541,-1.40007541,-1.04110106,-1.04110106,-1.04110106,18.18966814,-1.04110106,-1.04110106,18.56674204,-1.04110106,18.56674204,18.18966814,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,18.46172697,-1.14611613,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0765,-4.41968326,-4.41968326,-4.41968326,-4.41968326,15.18815984,-4.41968326,15.18815984,34.79600304,34.79600304,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,18.18966814,38.17458524,-1.04110106,-1.04110106,18.18966814,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,19.13065608,-0.47718702,-1.14611613,18.08465307,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-1.14611613,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0775,15.18815984,-4.41968326,15.18815984,-4.41968326,-4.41968326,34.04185524,-4.41968326,-4.41968326,15.18815984,-4.41968326,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,17.83069379,-1.40007541,-1.40007541,18.20776769,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,18.75358218,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0785,-4.41968326,-4.41968326,-4.41968326,-4.41968326,-4.41968326,14.81108594,-4.41968326,15.18815984,15.18815984,34.04185524,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,37.81561089,17.83069379,-1.04110106,-1.04110106,-1.04110106,18.18966814,-1.04110106,-1.04110106,-1.04110106,18.56674204,18.56674204,18.18966814,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,18.75358218,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.08465307,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
0.0795,-4.41968326,-4.41968326,-4.41968326,14.81108594,15.18815984,-4.41968326,-4.41968326,74.01168924,34.79600304,34.04185524,18.20776769,-1.40007541,-1.40007541,-1.40007541,-1.40007541,-1.40007541,18.20776769,-1.40007541,-1.40007541,17.83069379,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,-1.04110106,18.56674204,-1.04110106,-1.04110106,-1.04110106,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,-0.98058068,18.62726242,-0.98058068,-0.98058068,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-0.47718702,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,-1.14611613,18.46172697,-1.14611613,-0.04826545,-0.04826545,-0.04826545,19.18250375,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545,-0.04826545
