,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10,f09_stimulus_1,f09_stimulus_2,f09_stimulus_3,f09_stimulus_4,f09_stimulus_5,f09_stimulus_6,f09_stimulus_7,f09_stimulus_8,f09_stimulus_9,f09_stimulus_10
0.0605,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0615,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0625,-4.9398567,-4.9398567,-4.9398567,14.6679864,14.2909125,-4.9398567,14.6679864,-4.9398567,14.6679864,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,18.44513569,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,16.79807689,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,17.17515079,-1.43457767,-1.43457767,17.79619153,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0635,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-2.52017345,-2.52017345,-2.52017345,17.08766965,16.71059575,-2.52017345,-2.52017345,17.08766965,-2.52017345,17.08766965,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0645,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,18.66949468,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0655,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,14.6679864,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,18.66949468,-0.93834842,18.66949468,-0.93834842,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,17.08766965,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,16.79807689,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0665,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,14.6679864,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0675,-4.9398567,14.6679864,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0685,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,36.78299399,17.17515079,-2.43269231,17.17515079,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0695,-4.9398567,14.6679864,-4.9398567,-4.9398567,14.2909125,-4.9398567,-4.9398567,14.6679864,-4.9398567,14.6679864,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,17.08766965,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,16.79807689,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0705,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.2909125,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,17.47360481,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,-0.79072398,-0.79072398,18.44004522,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0715,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0725,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,17.08766965,-2.52017345,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-0.79072398,-0.79072398,18.44004522,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0735,-4.9398567,14.6679864,14.2909125,-4.9398567,14.2909125,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.6679864,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,56.30335595,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0745,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,34.2758296,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,18.44513569,-1.16270741,-1.16270741,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,16.79807689,-2.43269231,16.79807689,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,19.09389138,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0755,-4.9398567,-4.9398567,14.2909125,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,17.47360481,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,18.44513569,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,16.71059575,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,17.08766965,-2.52017345,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,16.79807689,17.17515079,-2.43269231,-2.43269231,36.78299399,-2.43269231,17.17515079,-2.43269231,-1.43457767,18.17326543,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0765,-4.9398567,-4.9398567,14.2909125,-4.9398567,14.2909125,-4.9398567,-4.9398567,-4.9398567,34.2758296,14.6679864,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,17.08766965,17.08766965,-2.52017345,56.30335595,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,18.81711912,38.42496232,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,18.17326543,18.17326543,18.17326543,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0775,-4.9398567,14.6679864,-4.9398567,-4.9398567,14.2909125,-4.9398567,14.6679864,-4.9398567,-4.9398567,34.2758296,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,38.27733788,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-1.16270741,18.44513569,-2.52017345,-2.52017345,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,17.08766965,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,17.17515079,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,37.78110863,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0785,14.6679864,-4.9398567,-4.9398567,34.2758296,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,37.52319008,18.66949468,18.66949468,18.66949468,18.66949468,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,17.85067871,17.85067871,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,18.81711912,-0.79072398,18.81711912,-0.79072398,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,36.78299399,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,18.17326543,37.78110863,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.47096528,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0795,14.6679864,-4.9398567,-4.9398567,-4.9398567,14.2909125,-4.9398567,14.6679864,-4.9398567,34.2758296,34.2758296,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,18.66949468,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,17.85067871,17.47360481,17.85067871,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-1.16270741,38.05297889,-1.16270741,18.44513569,-1.16270741,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,-2.52017345,17.08766965,36.69551285,17.08766965,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.44004522,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,16.79807689,-2.43269231,17.17515079,-2.43269231,36.78299399,-2.43269231,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-1.43457767,18.17326543,18.17326543,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.47096528,-0.13687782
0.0805,34.2758296,14.6679864,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,53.8836727,14.6679864,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,38.27733788,18.66949468,18.66949468,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,18.44513569,18.44513569,-2.52017345,-2.52017345,-2.52017345,17.08766965,16.71059575,36.69551285,-2.52017345,17.08766965,36.69551285,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,36.78299399,36.02884619,-2.43269231,-2.43269231,-2.43269231,17.17515079,17.17515079,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,18.17326543,18.17326543,18.17326543,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.47096528,-0.13687782
